Event,Username,Message,List Numbers
d,becomingX36,lô 67.76.34.43.24.42x 10d.  xq 67.76.24.42x30n. 67.76.34.43x30n
67,76,24,42,30,67,76,34,43,30
d,becomingX36,"xq:565,010,x100 k,xq:181,585,x100 k c vân."
565,010,100,181,585,100
